len,world,iter,time
1000000000,1,0,911093.3518409729
1000000000,1,1,888116.019487381
1000000000,2,0,638920.1159477234
1000000000,2,1,640637.0003223419
1000000000,4,0,533000.2865791321
1000000000,4,1,531999.6728897095
1000000000,8,0,439999.35960769653
1000000000,8,1,427000.3809928894
1000000000,16,0,601999.5183944702
1000000000,16,1,587997.8406429291
1000000000,32,0,1227999.5436668396
1000000000,32,1,1255999.0260601044
1000000000,64,0,557999.623298645
1000000000,64,1,557999.5625019073
1000000000,128,0,299997.8451728821
1000000000,128,1,305995.00036239624
1000000000,256,0,185993.34287643433
1000000000,256,1,188995.54133415222
1000000000,512,0,106991.5463924408
1000000000,512,1,114983.79230499268
