len,world,iter,time
1000000000,1,0,703191.0729408264
1000000000,1,1,699934.9362850189
1000000000,2,0,550608.0372333527
1000000000,2,1,513894.6008682251
1000000000,4,0,356999.34697151184
1000000000,4,1,355999.2434978485
1000000000,8,0,231999.43280220032
1000000000,8,1,215999.19366836548
1000000000,16,0,154001.94883346558
1000000000,16,1,147000.75674057007
1000000000,32,0,126999.52983856201
1000000000,32,1,127999.15504455566
1000000000,64,0,99997.59078025818
1000000000,64,1,111998.03614616394
1000000000,128,0,119998.35538864136
1000000000,128,1,117997.0223903656
1000000000,256,0,96999.80926513672
1000000000,256,1,95994.67635154724
1000000000,512,0,117993.7334060669
1000000000,512,1,115993.28351020813
100000000,1,0,50353.77907752991
100000000,1,1,50427.71363258362
100000000,1,2,51224.58577156067
100000000,1,3,49999.02606010437
100000000,2,0,48289.95966911316
100000000,2,1,47999.29666519165
100000000,2,2,47998.817920684814
100000000,2,3,47997.52235412598
100000000,4,0,44224.108934402466
100000000,4,1,34520.37596702576
100000000,4,2,34409.69109535217
100000000,4,3,36986.89913749695
100000000,8,0,25872.466325759888
100000000,8,1,21999.557733535767
100000000,8,2,23000.67949295044
100000000,8,3,21998.905897140503
100000000,16,0,22001.401662826538
100000000,16,1,16000.58650970459
100000000,16,2,16000.5202293396
100000000,16,3,16000.401496887207
100000000,32,0,13999.485731124878
100000000,32,1,13997.148752212524
100000000,32,2,13997.058629989624
100000000,32,3,13998.908996582031
100000000,64,0,11997.56383895874
100000000,64,1,13999.286890029907
100000000,64,2,11995.89729309082
100000000,64,3,11997.815608978271
100000000,128,0,17445.685625076294
100000000,128,1,13997.9829788208
100000000,128,2,13997.302293777466
100000000,128,3,11999.031066894531
100000000,256,0,15994.683265686035
100000000,256,1,14990.036010742188
100000000,256,2,15001.862287521362
100000000,256,3,15992.53249168396
100000000,512,0,27120.348930358887
100000000,512,1,23987.056016921997
100000000,512,2,22981.808185577393
100000000,512,3,23988.317489624023
