len,world,iter,time,tag,out_len
1000000000,1,0,195610.2373600006,a=hash u=0.9,603732116
1000000000,1,1,203587.08381652832,a=hash u=0.9,603732116
1000000000,1,2,203623.5737800598,a=hash u=0.9,603732116
1000000000,1,3,203832.10062980652,a=hash u=0.9,603732116
1000000000,1,4,203598.88887405396,a=hash u=0.9,603732116
1000000000,2,0,117773.87261390686,a=hash u=0.9,603730700
1000000000,2,1,132824.29194450378,a=hash u=0.9,603730700
1000000000,2,2,137356.68325424194,a=hash u=0.9,603730700
1000000000,2,3,140283.0958366394,a=hash u=0.9,603730700
1000000000,2,4,140445.35660743713,a=hash u=0.9,603730700
1000000000,4,0,63632.726430892944,a=hash u=0.9,603712999
1000000000,4,1,72133.48388671875,a=hash u=0.9,603712999
1000000000,4,2,74825.61445236206,a=hash u=0.9,603712999
1000000000,4,3,76087.49794960022,a=hash u=0.9,603712999
1000000000,4,4,76398.22244644165,a=hash u=0.9,603712999
1000000000,8,0,35012.07447052002,a=hash u=0.9,603727553
1000000000,8,1,38997.018814086914,a=hash u=0.9,603727553
1000000000,8,2,41027.56977081299,a=hash u=0.9,603727553
1000000000,8,3,41322.97992706299,a=hash u=0.9,603727553
1000000000,8,4,40655.45988082886,a=hash u=0.9,603727553
1000000000,16,0,15637.067556381226,a=hash u=0.9,603721834
1000000000,16,1,17081.428050994873,a=hash u=0.9,603721834
1000000000,16,2,17037.890434265137,a=hash u=0.9,603721834
1000000000,16,3,17427.019834518433,a=hash u=0.9,603721834
1000000000,16,4,17195.79005241394,a=hash u=0.9,603721834
1000000000,32,0,8044.754505157471,a=hash u=0.9,603715680
1000000000,32,1,8648.167371749878,a=hash u=0.9,603715680
1000000000,32,2,8891.537427902222,a=hash u=0.9,603715680
1000000000,32,3,8904.208898544312,a=hash u=0.9,603715680
1000000000,32,4,8638.506889343262,a=hash u=0.9,603715680
1000000000,64,0,4798.257112503052,a=hash u=0.9,603732712
1000000000,64,1,5159.701108932495,a=hash u=0.9,603732712
1000000000,64,2,5294.661998748779,a=hash u=0.9,603732712
1000000000,64,3,5251.567602157593,a=hash u=0.9,603732712
1000000000,64,4,5290.680170059204,a=hash u=0.9,603732712
1000000000,128,0,2959.4295024871826,a=hash u=0.9,603721868
1000000000,128,1,3040.555477142334,a=hash u=0.9,603721868
1000000000,128,2,3035.1743698120117,a=hash u=0.9,603721868
1000000000,128,3,3200.1543045043945,a=hash u=0.9,603721868
1000000000,128,4,3142.465829849243,a=hash u=0.9,603721868
1000000000,256,0,2518.251895904541,a=hash u=0.9,603721317
1000000000,256,1,2911.7770195007324,a=hash u=0.9,603721317
1000000000,256,2,2807.6465129852295,a=hash u=0.9,603721317
1000000000,256,3,2948.251724243164,a=hash u=0.9,603721317
1000000000,256,4,2915.6315326690674,a=hash u=0.9,603721317
1000000000,512,0,4299.567222595215,a=hash u=0.9,603719787
1000000000,512,1,6939.515113830566,a=hash u=0.9,603719787
1000000000,512,2,6680.12809753418,a=hash u=0.9,603719787
1000000000,512,3,6883.564472198486,a=hash u=0.9,603719787
1000000000,512,4,6727.16212272644,a=hash u=0.9,603719787
1000000000,1,0,199109.16566848755,a=mapred_hash u=0.9,603733865
1000000000,1,1,277184.2396259308,a=mapred_hash u=0.9,603733865
1000000000,1,2,280796.0855960846,a=mapred_hash u=0.9,603733865
1000000000,1,3,280792.0479774475,a=mapred_hash u=0.9,603733865
1000000000,1,4,280881.43610954285,a=mapred_hash u=0.9,603733865
1000000000,2,0,205442.21425056458,a=mapred_hash u=0.9,603720149
1000000000,2,1,237457.39483833313,a=mapred_hash u=0.9,603720149
1000000000,2,2,252431.53500556946,a=mapred_hash u=0.9,603720149
1000000000,2,3,251303.95770072937,a=mapred_hash u=0.9,603720149
1000000000,2,4,255152.97961235046,a=mapred_hash u=0.9,603720149
1000000000,4,0,119843.85013580322,a=mapred_hash u=0.9,603725191
1000000000,4,1,131478.62434387207,a=mapred_hash u=0.9,603725191
1000000000,4,2,142744.3985939026,a=mapred_hash u=0.9,603725191
1000000000,4,3,142118.5383796692,a=mapred_hash u=0.9,603725191
1000000000,4,4,142814.62359428406,a=mapred_hash u=0.9,603725191
1000000000,8,0,74006.3750743866,a=mapred_hash u=0.9,603735053
1000000000,8,1,82739.98808860779,a=mapred_hash u=0.9,603735053
1000000000,8,2,85538.3505821228,a=mapred_hash u=0.9,603735053
1000000000,8,3,85625.22006034851,a=mapred_hash u=0.9,603735053
1000000000,8,4,86064.98503684998,a=mapred_hash u=0.9,603735053
1000000000,16,0,36120.999336242676,a=mapred_hash u=0.9,603730788
1000000000,16,1,40028.78975868225,a=mapred_hash u=0.9,603730788
1000000000,16,2,40848.817110061646,a=mapred_hash u=0.9,603730788
1000000000,16,3,40602.41723060608,a=mapred_hash u=0.9,603730788
1000000000,16,4,40681.68568611145,a=mapred_hash u=0.9,603730788
1000000000,32,0,18568.76850128174,a=mapred_hash u=0.9,603731890
1000000000,32,1,20407.133102416992,a=mapred_hash u=0.9,603731890
1000000000,32,2,20601.850271224976,a=mapred_hash u=0.9,603731890
1000000000,32,3,20634.78398323059,a=mapred_hash u=0.9,603731890
1000000000,32,4,20572.538137435913,a=mapred_hash u=0.9,603731890
1000000000,64,0,10723.379373550415,a=mapred_hash u=0.9,603728319
1000000000,64,1,11466.472625732422,a=mapred_hash u=0.9,603728319
1000000000,64,2,11581.609964370728,a=mapred_hash u=0.9,603728319
1000000000,64,3,11533.532619476318,a=mapred_hash u=0.9,603728319
1000000000,64,4,11563.744306564331,a=mapred_hash u=0.9,603728319
1000000000,128,0,6091.75443649292,a=mapred_hash u=0.9,603722175
1000000000,128,1,6578.9172649383545,a=mapred_hash u=0.9,603722175
1000000000,128,2,6672.539949417114,a=mapred_hash u=0.9,603722175
1000000000,128,3,6670.145273208618,a=mapred_hash u=0.9,603722175
1000000000,128,4,6765.401124954224,a=mapred_hash u=0.9,603722175
1000000000,256,0,4453.891038894653,a=mapred_hash u=0.9,603732630
1000000000,256,1,5426.632642745972,a=mapred_hash u=0.9,603732630
1000000000,256,2,5515.538215637207,a=mapred_hash u=0.9,603732630
1000000000,256,3,5560.532808303833,a=mapred_hash u=0.9,603732630
1000000000,256,4,5563.625812530518,a=mapred_hash u=0.9,603732630
1000000000,512,0,7335.283279418945,a=mapred_hash u=0.9,603723728
1000000000,512,1,11998.674154281616,a=mapred_hash u=0.9,603723728
1000000000,512,2,12157.770156860352,a=mapred_hash u=0.9,603723728
1000000000,512,3,11728.6536693573,a=mapred_hash u=0.9,603723728
1000000000,512,4,11848.380088806152,a=mapred_hash u=0.9,603723728
1000000000,1,0,43725.172996520996,a=mapred_hash u=1e-05,10000
1000000000,1,1,46457.056283950806,a=mapred_hash u=1e-05,10000
1000000000,1,2,46350.87275505066,a=mapred_hash u=1e-05,10000
1000000000,1,3,46436.890840530396,a=mapred_hash u=1e-05,10000
1000000000,1,4,46425.75740814209,a=mapred_hash u=1e-05,10000
1000000000,2,0,21823.41766357422,a=mapred_hash u=1e-05,10000
1000000000,2,1,23442.26884841919,a=mapred_hash u=1e-05,10000
1000000000,2,2,22225.030422210693,a=mapred_hash u=1e-05,10000
1000000000,2,3,22257.972717285156,a=mapred_hash u=1e-05,10000
1000000000,2,4,22239.923238754272,a=mapred_hash u=1e-05,10000
1000000000,4,0,10338.481187820435,a=mapred_hash u=1e-05,10000
1000000000,4,1,10801.719903945923,a=mapred_hash u=1e-05,10000
1000000000,4,2,11251.269340515137,a=mapred_hash u=1e-05,10000
1000000000,4,3,11049.055814743042,a=mapred_hash u=1e-05,10000
1000000000,4,4,10743.153095245361,a=mapred_hash u=1e-05,10000
1000000000,8,0,5039.474725723267,a=mapred_hash u=1e-05,10000
1000000000,8,1,5550.537109375,a=mapred_hash u=1e-05,10000
1000000000,8,2,5322.130918502808,a=mapred_hash u=1e-05,10000
1000000000,8,3,5472.580194473267,a=mapred_hash u=1e-05,10000
1000000000,8,4,5362.578868865967,a=mapred_hash u=1e-05,10000
1000000000,16,0,2660.054922103882,a=mapred_hash u=1e-05,10000
1000000000,16,1,3047.396183013916,a=mapred_hash u=1e-05,10000
1000000000,16,2,3031.8856239318848,a=mapred_hash u=1e-05,10000
1000000000,16,3,3049.2801666259766,a=mapred_hash u=1e-05,10000
1000000000,16,4,3020.3871726989746,a=mapred_hash u=1e-05,10000
1000000000,32,0,1493.1838512420654,a=mapred_hash u=1e-05,10000
1000000000,32,1,1415.806770324707,a=mapred_hash u=1e-05,10000
1000000000,32,2,1623.6298084259033,a=mapred_hash u=1e-05,10000
1000000000,32,3,1637.8693580627441,a=mapred_hash u=1e-05,10000
1000000000,32,4,1682.7173233032227,a=mapred_hash u=1e-05,10000
1000000000,64,0,814.0115737915039,a=mapred_hash u=1e-05,10000
1000000000,64,1,882.7450275421143,a=mapred_hash u=1e-05,10000
1000000000,64,2,803.0698299407959,a=mapred_hash u=1e-05,10000
1000000000,64,3,881.3879489898682,a=mapred_hash u=1e-05,10000
1000000000,64,4,917.7403450012207,a=mapred_hash u=1e-05,10000
