len,world,iter,time
1000000000,1,0,27708.559036254883
1000000000,1,1,29015.259981155396
1000000000,1,2,27309.277296066284
1000000000,1,3,26832.36265182495
1000000000,2,0,29690.20676612854
1000000000,2,1,26031.679153442383
1000000000,2,2,37752.17914581299
1000000000,2,3,27163.066387176514
1000000000,4,0,31699.655532836914
1000000000,4,1,38723.774909973145
1000000000,4,2,26515.310287475586
1000000000,4,3,27436.835527420044
1000000000,8,0,28528.021574020386
1000000000,8,1,27371.121406555176
1000000000,8,2,26700.544595718384
1000000000,8,3,26677.73389816284
1000000000,16,0,26691.21241569519
1000000000,16,1,26017.411708831787
1000000000,16,2,25672.252416610718
1000000000,16,3,12756.83617591858
1000000000,32,0,27312.28995323181
1000000000,32,1,27452.369928359985
1000000000,32,2,30413.99121284485
1000000000,32,3,26294.403076171875
1000000000,64,0,27256.259202957153
1000000000,64,1,28149.8019695282
1000000000,64,2,34912.864685058594
1000000000,64,3,28631.134033203125
1000000000,128,0,14034.123420715332
1000000000,128,1,13016.298055648804
1000000000,128,2,13503.662109375
1000000000,128,3,14070.22500038147
1000000000,256,0,14311.873435974121
1000000000,256,1,13097.080707550049
1000000000,256,2,13775.969505310059
1000000000,256,3,13086.470365524292
1000000000,512,0,14859.26103591919
1000000000,512,1,13017.680168151855
1000000000,512,2,12574.636459350586
1000000000,512,3,12805.240392684937
